permno,adate,qdate,public_date,bm,TICKER
21020,2014-12-31,2014-12-31,2015-02-28,0.054,AAL
21020,2014-12-31,2014-12-31,2015-03-31,0.054,AAL
21020,2014-12-31,2014-12-31,2015-04-30,0.054,AAL
21020,2014-12-31,2015-03-31,2015-05-31,0.075,AAL
21020,2014-12-31,2015-03-31,2015-06-30,0.075,AAL
21020,2014-12-31,2015-03-31,2015-07-31,0.075,AAL
21020,2014-12-31,2015-06-30,2015-08-31,0.134,AAL
21020,2014-12-31,2015-06-30,2015-09-30,0.134,AAL
21020,2014-12-31,2015-06-30,2015-10-31,0.134,AAL
21020,2014-12-31,2015-09-30,2015-11-30,0.151,AAL
21020,2014-12-31,2015-09-30,2015-12-31,0.151,AAL
21020,2014-12-31,2015-09-30,2016-01-31,0.151,AAL
21020,2015-12-31,2015-12-31,2016-02-29,0.213,AAL
21020,2015-12-31,2015-12-31,2016-03-31,0.213,AAL
21020,2015-12-31,2015-12-31,2016-04-30,0.213,AAL
21020,2015-12-31,2016-03-31,2016-05-31,0.196,AAL
21020,2015-12-31,2016-03-31,2016-06-30,0.196,AAL
21020,2015-12-31,2016-03-31,2016-07-31,0.196,AAL
21020,2015-12-31,2016-06-30,2016-08-31,0.284,AAL
21020,2015-12-31,2016-06-30,2016-09-30,0.284,AAL
21020,2015-12-31,2016-06-30,2016-10-31,0.284,AAL
21020,2015-12-31,2016-09-30,2016-11-30,0.231,AAL
21020,2015-12-31,2016-09-30,2016-12-31,0.231,AAL
21020,2015-12-31,2016-09-30,2017-01-31,0.231,AAL
21020,2016-12-31,2016-12-31,2017-02-28,0.160,AAL
21020,2016-12-31,2016-12-31,2017-03-31,0.160,AAL
21020,2016-12-31,2016-12-31,2017-04-30,0.160,AAL
21020,2016-12-31,2017-03-31,2017-05-31,0.165,AAL
21020,2016-12-31,2017-03-31,2017-06-30,0.165,AAL
21020,2016-12-31,2017-03-31,2017-07-31,0.165,AAL
21020,2016-12-31,2017-06-30,2017-08-31,0.151,AAL
21020,2016-12-31,2017-06-30,2017-09-30,0.151,AAL
21020,2016-12-31,2017-06-30,2017-10-31,0.151,AAL
21020,2016-12-31,2017-09-30,2017-11-30,0.173,AAL
21020,2016-12-31,2017-09-30,2017-12-31,0.173,AAL
21020,2016-12-31,2017-09-30,2018-01-31,0.173,AAL
21020,2017-12-31,2017-12-31,2018-02-28,0.160,AAL
21020,2017-12-31,2017-12-31,2018-03-31,0.160,AAL
21020,2017-12-31,2017-12-31,2018-04-30,0.160,AAL
21020,2017-12-31,2018-03-31,2018-05-31,0.160,AAL
21020,2017-12-31,2018-03-31,2018-06-30,0.160,AAL
21020,2017-12-31,2018-03-31,2018-07-31,0.160,AAL
21020,2017-12-31,2018-06-30,2018-08-31,0.160,AAL
21020,2017-12-31,2018-06-30,2018-09-30,0.160,AAL
21020,2017-12-31,2018-06-30,2018-10-31,0.160,AAL
21020,2017-12-31,2018-09-30,2018-11-30,0.160,AAL
21020,2017-12-31,2018-09-30,2018-12-31,0.160,AAL
21020,2017-12-31,2018-09-30,2019-01-31,0.160,AAL
21020,2018-12-31,2018-12-31,2019-02-28,,AAL
21020,2018-12-31,2018-12-31,2019-03-31,,AAL
21020,2018-12-31,2018-12-31,2019-04-30,,AAL
21020,2018-12-31,2019-03-31,2019-05-31,,AAL
21020,2018-12-31,2019-03-31,2019-06-30,,AAL
21020,2018-12-31,2019-03-31,2019-07-31,,AAL
21020,2018-12-31,2019-06-30,2019-08-31,,AAL
21020,2018-12-31,2019-06-30,2019-09-30,,AAL
21020,2018-12-31,2019-06-30,2019-10-31,,AAL
21020,2018-12-31,2019-09-30,2019-11-30,0.014,AAL
21020,2018-12-31,2019-09-30,2019-12-31,0.014,AAL
21020,2018-12-31,2019-09-30,2020-01-31,0.014,AAL
21020,2019-12-31,2019-12-31,2020-02-29,,AAL
21020,2019-12-31,2019-12-31,2020-03-31,,AAL
21020,2019-12-31,2019-12-31,2020-04-30,,AAL
21020,2019-12-31,2020-03-31,2020-05-31,,AAL
21020,2019-12-31,2020-03-31,2020-06-30,,AAL
21020,2019-12-31,2020-03-31,2020-07-31,,AAL
21020,2019-12-31,2020-06-30,2020-08-31,,AAL
21020,2019-12-31,2020-06-30,2020-09-30,,AAL
21020,2019-12-31,2020-06-30,2020-10-31,,AAL
21020,2019-12-31,2020-09-30,2020-11-30,,AAL
21020,2019-12-31,2020-09-30,2020-12-31,,AAL
21020,2019-12-31,2020-09-30,2021-01-31,,AAL
21020,2020-12-31,2020-12-31,2021-02-28,,AAL
21020,2020-12-31,2020-12-31,2021-03-31,,AAL
21020,2020-12-31,2020-12-31,2021-04-30,,AAL
21020,2020-12-31,2021-03-31,2021-05-31,,AAL
21020,2020-12-31,2021-03-31,2021-06-30,,AAL
21020,2020-12-31,2021-03-31,2021-07-31,,AAL
21020,2020-12-31,2021-06-30,2021-08-31,,AAL
21020,2020-12-31,2021-06-30,2021-09-30,,AAL
21020,2020-12-31,2021-06-30,2021-10-31,,AAL
21020,2020-12-31,2021-09-30,2021-11-30,,AAL
21020,2020-12-31,2021-09-30,2021-12-31,,AAL
21020,2020-12-31,2021-09-30,2022-01-31,,AAL
21020,2021-12-31,2021-12-31,2022-02-28,,AAL
21020,2021-12-31,2021-12-31,2022-03-31,,AAL
21020,2021-12-31,2021-12-31,2022-04-30,,AAL
21020,2021-12-31,2022-03-31,2022-05-31,,AAL
21020,2021-12-31,2022-03-31,2022-06-30,,AAL
21020,2021-12-31,2022-03-31,2022-07-31,,AAL
